0.0,1125
0.01,1167
0.02,1115
0.03,1093
0.04,1107
0.05,1174
0.06,1238
0.07,1236
0.08,1241
0.09,1234
0.1,1267
0.11,1258
0.12,1231
0.13,1201
0.14,1187
0.15,1227
0.16,1306
0.17,1338
0.18,1344
0.19,1384
0.2,1405
0.21,1489
0.22,1443
0.23,1469
0.24,1653
0.25,1650
0.26,1666
0.27,1682
0.28,1699
0.29,1711
0.3,1696
0.31,1687
0.32,1634
0.33,1736
0.34,1719
0.35,1666
0.36,1657
0.37,1661
0.38,1667
0.39,1644
0.4,1803
0.41,1898
0.42,1869
0.43,1851
0.44,1981
0.45,2143
0.46,2247
0.47,2195
0.48,2387
0.49,2509
0.5,2384
0.51,2313
0.52,2152
0.53,2064
0.54,2366
0.55,2207
0.56,2063
0.57,2003
0.58,1858
0.59,1789
0.6,1744
0.61,1654
0.62,1608
0.63,1601
0.64,1596
0.65,1548
0.66,1529
0.67,1499
0.68,1456
0.69,1501
0.7,1490
0.71,1478
0.72,1407
0.73,1414
0.74,1383
0.75,1388
0.76,1420
0.77,1396
0.78,1354
0.79,1394
0.8,1381
0.81,1358
0.82,1334
0.83,1333
0.84,1352
0.85,1348
0.86,1329
0.87,1309
0.88,1314
0.89,1299
0.9,1310
0.91,1306
0.92,1290
0.93,1298
0.94,1329
0.95,1353
0.96,1358
0.97,1331
0.98,1359
0.99,1371
