0.0,866
0.0,877
0.0,864
0.0,856
0.0,853
0.01,876
0.01,882
0.01,873
0.01,865
0.01,861
0.01,861
0.01,872
0.01,866
0.01,860
0.01,854
0.01,863
0.02,874
0.02,884
0.02,876
0.02,866
0.02,859
0.02,867
0.02,879
0.02,878
0.02,866
0.03,856
0.03,863
0.03,876
0.03,894
0.03,886
0.03,891
0.03,902
0.03,877
0.03,907
0.03,896
0.04,887
0.04,881
0.04,928
0.04,929
0.04,927
0.04,917
0.04,903
0.04,908
0.04,945
0.04,957
0.04,959
0.05,941
0.05,956
0.05,986
0.05,996
0.05,991
0.05,973
0.05,971
0.05,1003
0.05,1052
0.06,1046
0.06,1035
0.06,1032
0.06,1057
0.06,1105
0.06,1105
0.06,1104
0.06,1098
0.06,1099
0.06,1142
0.07,1152
0.07,1127
0.07,1114
0.07,1152
0.07,1168
0.07,1170
0.07,1155
0.07,1145
0.07,1148
0.07,1153
0.07,1164
0.08,1154
0.08,1147
0.08,1144
0.08,1169
0.08,1178
0.08,1165
0.08,1180
0.08,1152
0.08,1136
0.09,1157
0.09,1152
0.09,1149
0.09,1133
0.09,1150
0.09,1158
0.09,1156
0.09,1154
0.09,1128
0.09,1130
0.1,1152
0.1,1223
0.1,1171
0.1,1154
0.1,1146
0.1,1165
0.1,1180
0.1,1169
0.1,1158
0.1,1146
0.1,1152
0.11,1178
0.11,1170
0.11,1160
0.11,1160
0.11,1155
0.11,1170
0.11,1187
0.11,1198
0.11,1176
0.12,1164
0.12,1167
0.12,1171
0.12,1156
0.12,1140
0.12,1133
0.12,1152
0.12,1149
0.12,1140
0.12,1127
0.12,1148
0.13,1151
0.13,1163
0.13,1153
0.13,1146
0.13,1135
0.13,1129
0.13,1150
0.13,1171
0.13,1164
0.14,1153
0.14,1144
0.14,1136
0.14,1139
0.14,1136
0.14,1124
0.14,1110
0.14,1108
0.14,1134
0.14,1143
0.14,1119
0.15,1123
0.15,1102
0.15,1120
0.15,1119
0.15,1129
0.15,1103
0.15,1096
0.15,1115
0.15,1116
0.15,1116
0.16,1092
0.16,1090
0.16,1092
0.16,1124
0.16,1088
0.16,1072
0.16,1081
0.16,1081
0.16,1115
0.17,1075
0.17,1079
0.17,1058
0.17,1074
0.17,1058
0.17,1048
0.17,1033
0.17,1029
0.17,1058
0.17,1077
0.18,1090
0.18,1070
0.18,1063
0.18,1078
0.18,1128
0.18,1105
0.18,1106
0.18,1079
0.18,1112
0.18,1130
0.18,1134
0.19,1124
0.19,1119
0.19,1118
0.19,1157
0.19,1191
0.19,1177
0.19,1191
0.19,1216
0.19,1195
0.2,1185
0.2,1175
0.2,1168
0.2,1174
0.2,1216
0.2,1221
0.2,1208
0.2,1194
0.2,1215
0.2,1227
0.21,1224
0.21,1221
0.21,1227
0.21,1233
0.21,1229
0.21,1231
0.21,1231
0.21,1192
0.21,1202
0.21,1213
0.21,1215
0.22,1204
0.22,1217
0.22,1215
0.22,1226
0.22,1280
0.22,1222
0.22,1214
0.22,1235
0.22,1260
0.23,1269
0.23,1260
0.23,1249
0.23,1239
0.23,1264
0.23,1280
0.23,1237
0.23,1229
